ds,AQI,tavg,wspd,prcp
3/30/2025,90,25.5,8,0
3/31/2025,94,26.1,6.6,0
4/1/2025,96,27.1,6.5,0
4/2/2025,107,27.2,5.2,0
4/3/2025,117,28.5,4.4,0
4/4/2025,112,29.4,8.3,0
4/5/2025,110,30,6.9,0
4/6/2025,121,30.3,5.1,0
4/7/2025,130,30.5,3.2,0
4/8/2025,128,31.1,5,0
4/9/2025,129,30.9,3.9,0
4/10/2025,138,30.4,6.5,3.5
4/11/2025,74,29.6,7.2,0.6
4/12/2025,97,29.5,6,0
4/13/2025,112,29,4.8,0.6
4/14/2025,65,28.9,4.9,0
4/15/2025,76,29.4,4.7,0
4/16/2025,87,31,3.6,0
4/17/2025,107,32,4.9,0
4/18/2025,129,32.3,6.5,0
4/19/2025,100,32.7,8.1,0
4/20/2025,99,32.9,6.5,0
4/21/2025,132,33.7,5.6,0
4/22/2025,172,33.5,7.4,0
4/23/2025,141,32.5,9.5,0
4/24/2025,116,32.2,7.9,0
4/25/2025,108,32.9,5.2,0
4/26/2025,109,33,5.2,0
4/27/2025,102,32.1,6.9,0
4/28/2025,87,31.2,6.6,0
4/29/2025,98,30.3,10.3,2.3
4/30/2025,94,30.4,8.7,0
5/1/2025,89,30.2,7.6,0
5/2/2025,88,30.5,6,0
5/3/2025,97,31.4,5,0
5/4/2025,98,31.2,6.2,0
5/5/2025,85,31.3,7.9,0
5/6/2025,100,30.8,5,0
5/7/2025,81,31.5,6.1,0
5/8/2025,88,32,6.8,0
5/9/2025,99,32.1,6.5,0
5/10/2025,82,32.5,8.2,0
5/11/2025,91,32.8,8.3,0
5/12/2025,65,33.7,8.7,0
5/13/2025,99,34.1,8.9,0
5/14/2025,117,34,8.2,0
5/15/2025,119,34.2,6.5,0
5/16/2025,106,35.1,6.6,0
5/17/2025,170,34.4,5.8,0
5/18/2025,108,34.2,6.9,0
5/19/2025,91,33.5,7.8,0
5/20/2025,95,34,6.9,0
5/21/2025,107,34.1,7.7,0
5/22/2025,91,32.4,8.4,0
5/23/2025,86,30.8,7.2,0.2
5/24/2025,91,30.6,8.6,0
5/25/2025,86,31.2,7.2,0.3
5/26/2025,68,32,6.8,0
5/27/2025,67,32.2,7.3,0
5/28/2025,70,32.8,6.2,0.7
5/29/2025,82,33.2,5.8,0
5/30/2025,60,33.9,6.5,0.2
5/31/2025,84,33.6,9.8,0
6/1/2025,103,33,12.3,0
6/2/2025,100,32.8,12,0
6/3/2025,99,30,8.5,1.1
6/4/2025,72,29.5,6.5,0
6/5/2025,85,30.5,5.3,0
6/6/2025,90,31.3,5.2,0
6/7/2025,94,32.8,4.9,0
6/8/2025,105,34.7,4.9,0
6/9/2025,106,36,5.4,0
6/10/2025,109,36.3,5.9,0
6/11/2025,91,36.5,6.9,0
6/12/2025,84,36.2,7.8,0
6/13/2025,75,36.1,7.7,0
6/14/2025,85,36.3,6.1,0
6/15/2025,83,35,5.5,0
6/16/2025,85,33.3,5.6,17.7
6/17/2025,55,31.7,5.1,1.4
6/18/2025,52,30.7,5.2,2.7
6/19/2025,63,30.7,5.6,8.8
6/20/2025,56,29.4,4.9,38
6/21/2025,48,29,5.7,4.8
6/22/2025,45,29.6,6.5,3.9
6/23/2025,52,29.7,5.4,2.6
6/24/2025,48,30.5,4.5,1.2
6/25/2025,61,31.4,7,5.3
6/26/2025,67,31.4,8.5,7.6
6/27/2025,54,30.6,6.4,19.4
6/28/2025,53,29.6,5.2,17.5
6/29/2025,46,29.3,7.8,5.1
6/30/2025,64,28.4,5.1,10
7/1/2025,41,28.7,4.4,10.5
7/2/2025,54,30,5.8,10.1
7/3/2025,63,30.3,5.5,7.4
7/4/2025,65,29.6,4.4,18.6
7/5/2025,52,29.6,4.2,9.4
7/6/2025,41,30.4,4.5,4.8
7/7/2025,53,31.2,5.1,3.9
7/8/2025,61,31.2,5.1,15.8
7/9/2025,50,30.3,5.8,3.9
7/10/2025,45,29.7,5.1,0.3
7/11/2025,45,28.5,4.5,19.8
7/12/2025,60,28.4,4.8,50.2
7/13/2025,59,29.8,5.2,14.8
7/14/2025,54,29.4,5.1,9
7/15/2025,51,29,3.7,14.8
7/16/2025,46,28.2,5.3,9.3
7/17/2025,37,27.1,8.1,44.1
7/18/2025,33,29.7,6.8,0.7
7/19/2025,56,31.4,7.9,0
7/20/2025,58,31.1,7.1,0
7/21/2025,72,30.7,4.4,0.2
7/22/2025,45,31.4,5.4,3
7/23/2025,53,31,8.5,4.9
7/24/2025,52,30.7,9.7,6.4
7/25/2025,50,29.9,8.7,25
7/26/2025,36,29.7,8.3,11.9
7/27/2025,37,30.3,6.9,16.1
7/28/2025,33,29.2,6.4,12.9
7/29/2025,41,28.9,4.9,11.4
7/30/2025,45,29.3,6.3,1.6
7/31/2025,35,28.9,7.1,5.9
8/1/2025,33,29,10.5,8
8/2/2025,36,28.5,9,21.5
8/3/2025,28,27.5,9.5,54.8
8/4/2025,27,27.4,10,18
8/5/2025,37,28.2,7.7,3.7
8/6/2025,37,28.9,6.6,4.4
8/7/2025,43,29.4,9.5,3.9
8/8/2025,29,28.3,8,10.5
8/9/2025,48,28.8,6.8,0.5
8/10/2025,38,29.5,7,1.7
8/11/2025,36,29.7,8.3,2.6
8/12/2025,46,29.7,9.1,6.4
8/13/2025,64,29,6.1,8.9
8/14/2025,38,29.9,5.8,0.7
8/15/2025,43,31,5.6,0.1
8/16/2025,54,32,5.8,0.2
8/17/2025,48,32.1,6.9,7
8/18/2025,70,31.2,8.7,13.9
8/19/2025,33,31,8.6,0.1
8/20/2025,40,29.9,8.2,14.5
8/21/2025,37,28.8,5.4,2.5
8/22/2025,38,28.2,6,10.8
8/23/2025,32,27.2,4.9,23.9
8/24/2025,29,27,4.1,12.3
8/25/2025,29,27.6,5.5,14.3
8/26/2025,45,29.2,4.2,1.8
8/27/2025,73,30.3,3.8,0.9
8/28/2025,71,30.8,5.7,3.3
8/29/2025,61,30.4,6.3,3.4
8/30/2025,48,29.6,5.5,14.1
8/31/2025,47,28.8,4.7,17.9
9/1/2025,45,28.3,4.7,7.3
9/2/2025,36,28.4,4,7.1
9/3/2025,36,28.8,7.2,17.6
9/4/2025,32,28.3,9,12.7
9/5/2025,35,28.8,7.3,1.6
9/6/2025,47,29.9,5.2,0
9/7/2025,39,29.8,3.7,4
9/8/2025,35,29.3,4.2,14.4
9/9/2025,34,29.7,5.8,1.9
9/10/2025,42,30.2,8.3,0.5
9/11/2025,49,30.1,8.1,0.2
9/12/2025,53,30,5.7,0.6
9/13/2025,58,30.2,3.5,0.2
9/14/2025,82,29.8,3.1,2.6
9/15/2025,56,28.4,3.7,13.3
9/16/2025,43,27.5,3.8,11.6
9/17/2025,41,27.7,3.7,1
9/18/2025,33,27.7,4.2,8.4
9/19/2025,42,27.9,5.3,14.6
9/20/2025,39,29,5.2,5.5
9/21/2025,49,30.2,6.2,0.3
9/22/2025,79,30.6,6.2,0
9/23/2025,82,30.8,6.3,0
9/24/2025,92,30.2,5.2,8.5
9/25/2025,61,30.1,3.4,1.2
9/26/2025,51,30.3,4.5,1.3
9/27/2025,54,30,6.3,4
9/28/2025,35,30.5,6.8,0.2
9/29/2025,56,30.6,3.3,2.2
9/30/2025,60,29.7,3.8,8.9
10/1/2025,45,29,4.4,5.6
10/2/2025,48,27.7,4.3,6
10/3/2025,40,26.6,5.9,38.8
10/4/2025,46,26.4,6.2,18
10/5/2025,32,28.1,5.8,0
10/6/2025,60,28.5,4.9,0.2
10/7/2025,50,27.6,4.6,2.8
10/8/2025,34,27.5,4.5,0
10/9/2025,46,26.8,6.2,0
10/10/2025,105,25.8,5.8,0
10/11/2025,77,25.6,4.8,0
10/12/2025,83,25.1,4.2,0
10/13/2025,90,25.2,2.6,0
10/14/2025,91,25.2,2.1,0
10/15/2025,85,25.5,2.1,0
10/16/2025,96,25.6,3.1,0
10/17/2025,114,25.5,2.4,0
10/18/2025,104,25.2,2.1,0
10/19/2025,108,25.2,1.5,0
10/20/2025,133,26.1,1.3,0
10/21/2025,198,27.1,1.7,0.3
10/22/2025,184,27.4,2.2,0.1
10/23/2025,147,27.4,2.7,0.5
10/24/2025,184,27.4,1.6,0
10/25/2025,135,26.8,2.4,0
10/26/2025,107,26.4,2.7,0
10/27/2025,155,25.1,4,4.4
10/28/2025,114,24.7,5,0.1
10/29/2025,64,24.3,4.8,0.6
10/30/2025,65,23.3,7.6,32.3
10/31/2025,66,22.8,4.6,5.1
11/1/2025,52,23.9,3.8,0.3
11/2/2025,107,24.5,4.8,0
11/3/2025,111,24.1,5.5,0
11/4/2025,104,23.3,3.6,0
11/5/2025,192,23.6,3.8,0.1
11/6/2025,123,23.5,5.6,0
11/7/2025,135,21.4,5.5,0
11/8/2025,145,20.2,4.8,0
11/9/2025,174,19.7,4.8,0
11/10/2025,188,19.1,4,0
11/11/2025,204,19,4.4,0
11/12/2025,223,18.9,4.5,0
11/13/2025,189,18.8,3.8,0
11/14/2025,200,18.6,3.3,0
11/15/2025,182,18.3,1.7,0
11/16/2025,174,18.2,1.8,0
11/17/2025,171,18.1,1.8,0
11/18/2025,204,18.5,1.7,0
11/19/2025,183,18.7,1.2,0
11/20/2025,158,18.8,1.2,0
11/21/2025,198,19,1.2,0
11/22/2025,218,19.2,2.1,0
11/23/2025,206,18.8,2,0
11/24/2025,166,18.1,1.1,0
11/25/2025,187,17.6,1.1,0
11/26/2025,140,17.6,1.2,0
11/27/2025,162,17.3,1.1,0
11/28/2025,156,17.4,2.1,0
11/29/2025,153,18,2.2,0
11/30/2025,120,18.2,2.8,0
12/1/2025,134,18.3,2.6,0
12/2/2025,136,18,2.9,0
12/3/2025,149,18,2.9,0
12/4/2025,133,17.1,3.5,0
12/5/2025,119,15.9,2.5,0
12/6/2025,129,15.6,3.5,0
12/7/2025,136,16,3.7,0
12/8/2025,134,17,5.2,0
12/9/2025,123,16.7,4.3,0
12/10/2025,82,16.2,3.1,0
